IP地址,已发送,已接收,丢包率,平均延迟,下载速度（MB/s）,地区码,端口
94.159.100.110,4,4,0,194.58,13.47,FRA,443
64.238.203.122,4,4,0,201.11,13.44,FRA,8443
94.159.109.242,4,4,0,142.78,13.43,FRA,443
94.159.109.104,4,4,0,202.53,13.42,FRA,443
94.159.104.237,4,4,0,154.81,13.42,FRA,443
103.7.55.159,4,4,0,186.73,13.41,MXP,443
5.187.0.73,4,4,0,178.59,13.38,FRA,8443
195.26.231.93,4,4,0,181.55,13.38,FRA,443
45.145.43.205,4,4,0,173.44,13.36,FRA,2053
5.187.3.181,4,4,0,191,13.36,FRA,8443
217.154.94.41,4,4,0,225.19,13.34,TXL,443
64.238.203.98,4,4,0,202.69,13.34,FRA,8443
194.39.204.118,4,4,0,207.86,13.32,MUC,65535
87.120.205.15,4,4,0,246.36,13.31,FRA,443
94.159.98.123,4,4,0,197.54,13.3,FRA,443
213.21.241.70,4,4,0,237.72,13.29,FRA,8443
91.239.130.249,4,4,0,190.36,13.28,FRA,8443
217.144.187.140,4,4,0,289.07,13.27,FRA,2053
94.159.98.69,4,4,0,153.84,13.23,FRA,8443
94.159.101.193,4,4,0,156.2,13.22,FRA,443
87.120.166.7,4,4,0,204.78,13.18,CDG,443
45.129.78.69,4,4,0,194.68,13.18,FRA,2053
213.165.52.182,4,4,0,271.34,13.17,FRA,443
45.132.1.208,4,4,0,252.62,13.16,FRA,2053
31.172.73.104,4,4,0,196.94,13.16,FRA,2053
147.45.197.233,4,4,0,282.28,13.14,FRA,8443
14.102.228.159,4,3,0.25,201.05,13.1,LAX,2096
45.132.1.208,4,4,0,262.87,13.09,FRA,2053
195.58.38.63,4,4,0,231.76,13.07,FRA,443
68.183.64.188,4,4,0,238.67,13.06,FRA,8443
77.37.33.53,4,3,0.25,235.91,13.06,LAX,2087
64.238.203.71,4,4,0,195.56,13.06,FRA,8443
94.159.98.207,4,4,0,174.69,13.02,FRA,443
212.113.116.93,4,4,0,293.75,13.02,FRA,443
94.141.123.231,4,4,0,265.46,13.01,FRA,443
195.133.193.94,4,4,0,265.99,13,FRA,443
185.254.67.11,4,4,0,290.29,12.97,FRA,443
45.132.1.10,4,4,0,239.57,12.96,FRA,443
91.239.157.93,4,4,0,221.1,12.96,FRA,8443
185.103.253.226,4,4,0,262.59,12.95,FRA,2053
91.239.157.213,4,4,0,214.58,12.95,FRA,8443
213.108.198.56,4,4,0,254.75,12.95,FRA,443
150.241.105.227,4,4,0,271.59,12.93,FRA,8443
91.196.34.122,4,4,0,263.42,12.89,FRA,443
213.21.241.70,4,4,0,253.98,12.89,FRA,8443
5.39.249.167,4,4,0,269.61,12.88,FRA,443
83.219.249.208,4,4,0,297.71,12.88,FRA,443
83.143.113.26,4,4,0,271.32,12.86,FRA,443
185.233.81.42,4,4,0,291.32,12.85,FRA,2053
85.192.63.123,4,4,0,246.84,12.84,FRA,2053
